,genre
1590,musica popular uruguaya
1591,korean city pop
1592,alternative country
1593,guinean pop
1594,swiss pop
1595,latin viral rap
1596,rap anime
1597,classic nz pop
1598,finnish post-punk
1599,musique comorienne
1600,canadian latin
1601,peruvian hip hop
1602,aesthetic rap
1603,drill brasileiro
1604,funk viral
1605,nueva trova chilena
1606,latin funk
1607,musica nortena chilena
1608,deep latin alternative
1609,halloween
1610,comic metal
1611,idol rock
1612,j-metal
1613,kawaii metal
1614,black punk
1615,uk diy punk
1616,ottawa rap
