,genre
395,k-pop girl group
396,chill r&b
397,korean r&b
398,irish rock
399,italian adult pop
400,italian pop
401,italian indie pop
402,turin indie
403,italian hip hop
404,rome indie
405,milan indie
406,rap tunisien
407,italian pop rock
408,italian underground hip hop
409,rap napoletano
410,trap italiana
411,rap sardegna
412,piano rock
413,neo-singer-songwriter
414,italian reggae
415,emo rap italiano
416,mariachi
417,nuevo regional mexicano
418,ranchera
419,regional mexican
420,banda
421,corrido
422,norteno
423,mexican hip hop
424,sierreno
425,gruperas inmortales
426,nu-cumbia
427,bolero
428,corridos tumbados
429,malaysian pop
430,classic malaysian pop
431,malay rap
432,malaysian indie
433,rock kapak
434,k-pop boy group
435,basshall
436,desi pop
437,dutch indie
438,dutch indie rock
439,dutch rock
440,irish pop
441,surinamese pop
442,nederpop
443,russelater
444,electropowerpop
445,st louis rap
446,pop house
447,deep pop edm
448,norwegian hip hop
449,classic norwegian pop
450,danseband
451,trondersk musikk
452,nz hip hop
453,australian reggae fusion
454,salsa peruana
455,opm
456,pinoy rock
457,pinoy indie
458,pinoy reggae
459,polish pop
460,v-pop
461,destroy techno
462,kizomba
463,musica angolana
464,portuguese pop
465,semba
466,hip hop tuga
467,rap criolo
468,drill tuga
469,czsk reggae
470,reggae tuga
471,kizomba antigas
472,swedish idol pop
473,norwegian indie
474,norwegian pop rap
475,swedish hip hop
476,swedish pop rap
477,swedish gangsta rap
478,swedish reggae
479,swedish trap pop
480,mgpjr
481,hard rock
482,classic swedish pop
483,skansk musik
484,swedish country
485,swedish alternative rock
486,swedish indie rock
487,australian talent show
488,mandopop
489,singaporean mandopop
490,singaporean pop
491,c-pop
492,taiwan pop
493,zhongguo feng
494,turkish pop
495,turkish trap pop
496,arabesk
497,turkish singer-songwriter
498,turkish deep house
499,turkish hip hop
500,turkish trap
501,deep turkish pop
502,turkish edm
503,turkish alt pop
504,turkish modern jazz
505,anadolu rock
506,karadeniz turkuleri
507,turkish alternative
508,turkish alternative rock
509,turkish rock
510,kosovan pop
511,oyun havasi
512,turkish folk
513,irish singer-songwriter
514,taiwan hip hop
515,taiwan singer-songwriter
516,chinese indie
517,taiwan indie
518,malaysian mandopop
519,cantopop
520,hollywood
521,chinese r&b
522,classic mandopop
523,chinese singer-songwriter
524,mainland chinese pop
525,movie tunes
526,plugg
527,nottingham indie
528,dancefloor dnb
529,drum and bass
530,austrian pop
531,german rock
532,vienna indie
533,folk-pop
534,hawaiian hip hop
535,stomp and holler
536,acoustic pop
537,australian indie folk
538,indie folk
539,devon indie
540,contemporary country
541,country
542,country road
543,modern country rock
544,norwegian country
545,norwegian folk rock
546,disney
547,show tunes
548,deep neofolk
549,pinoy r&b
550,tagalog rap
551,swedish drill
552,swedish trap
553,compositional ambient
554,experimental classical
555,icelandic classical
556,icelandic experimental
557,nordic soundtrack
558,soundtrack
559,chinese drama ost
560,afroswing
561,bhangra
562,classic bhangra
563,canadian indie
564,italian alternative
565,classic italian pop
566,folk rock italiano
567,brooklyn indie
568,indie pop
569,vapor pop
570,persian pop
571,turkish jazz
572,j-rock
573,japanese emo
574,visual kei
575,pop r&b
576,brighton indie
577,garage rock
578,sheffield indie
579,british singer-songwriter
580,pop lgbtq+ brasileira
581,trap dominicano
582,finnish reggae
583,belgian hip hop
584,rap belge
585,singer-songwriter
586,balkan beats
587,electro swing
588,nu jazz
589,korean singer-songwriter
590,norwegian house
591,south carolina hip hop
592,belgian techno
593,classic turkish pop
594,northern irish indie
595,future garage
596,chicago indie
597,funky tech house
598,latin metal
599,metal colombiano
600,trova
601,finnish soul
602,veracruz indie
603,ritmo kombina
604,melancholia
605,norwegian singer-songwriter
606,pop peruano
607,fotbollslatar
608,qanun
609,turkish instrumental
610,chinese electropop
611,country pop
612,hyperpop francais
613,indie soul
614,la indie
615,german cloud rap
616,rebel blues
617,scottish rock
618,dutch cabaret
619,dutch singer-songwriter
620,classic dubstep
621,glam metal
622,salsa urbana
623,swedish eurodance
624,melodipop
625,stoner metal
626,emo rap
627,mundart
628,swiss hip hop
629,swiss indie
630,german alternative rap
631,german underground rap
632,canzone napoletana
633,rap italiano old school
634,indie folk italiano
635,nederlandse hardstyle
636,tekk
637,gabba
638,happy hardcore
639,hardcore techno
640,funk metal
641,screamocore
642,swedish dancehall
643,karadeniz pop
644,neue deutsche welle
645,new romantic
646,nu disco
647,electra
648,post-grunge
649,christlicher rap
650,danish alternative rock
651,danish punk
652,reunion pop
653,indie liguria
654,rap genovese
655,dutch trap
656,orebro indie
657,hokkien pop
658,taiwanese indigenous
659,post-punk argentina
660,ska argentino
661,batidao romantico
662,canadian rock
663,neon pop punk
664,pixie
665,pop punk
666,discofox
667,indonesian alternative rock
668,malaysian hip hop
669,maluku pop
670,carnaval
671,polish alternative
672,sami
673,dansband
674,danspunk
675,swedish rock-and-roll
676,vintage swedish pop
677,singaporean singer-songwriter
678,nz pop
679,brazilian bass
680,brazilian house
681,mgp
682,virgin islands reggae
683,classic finnish pop
684,armenian hip hop
685,armenian pop
686,afro house
687,south african house
688,south african pop dance
689,albanian pop
690,greek trap
691,swedish singer-songwriter
692,chinese hip hop
693,alternative hip hop
694,g funk
695,indonesian pop rock
696,lagu sabahan
697,norwegian trap
698,melodic dubstep
699,german trap
700,kurdish hip hop
701,finnish alternative rock
702,detroit trap
703,italo dance
704,bass house
705,canadian indie folk
706,deep new americana
707,freak folk
708,indie rock
709,saskatchewan indie
710,gqom
711,gaming edm
712,hopebeat
713,deep regional mexican
714,turkish psych
715,romanian house
716,romanian pop
717,pop emo
718,modern hard rock
719,finnish electro
720,k-rap
721,latin viral pop
722,reggaeton mexicano
723,norwegian rock
724,hands up
725,chinese audiophile
726,uk dancehall
727,polish hip hop
728,gothenburg indie
729,political hip hop
730,crunk
731,memphis hip hop
732,boom bap
733,old school hip hop
734,golden age hip hop
735,ambient folk
736,art rock
737,beatlesque
738,symphonic rock
739,german viral rap
740,pop flamenco
741,sad rap
742,birmingham grime
743,birmingham hip hop
744,birmingham indie
745,britpop
746,leicester indie
747,moldovan pop
748,rap siciliano
749,rif
750,swedish soul
751,hungarian pop
752,cypriot pop
753,azeri traditional
754,croatian pop
755,supergroup
756,chicago bop
757,pinoy hip hop
758,flamenco
759,rumba
760,carnaval cadiz
761,rap montrealais
762,turkce slow sarkilar
763,madchester
764,german soundtrack
765,urbano espanol
766,flamenco urbano
767,rock andaluz
768,hardcore hip hop
769,french indie folk
770,nordnorsk rap
771,polish trap
772,musica santomense
773,solo wave
774,frauenrap
775,k-pop reality show
776,south african hip hop
777,south african pop
778,south african trap
779,azontobeats
780,ghanaian hip hop
781,afro soul
782,amapiano
783,chinese idol pop
784,cuarteto
785,musica triste brasileira
786,colombian hip hop
787,salsa choke
788,danish pop rock
789,soul flow
790,polish alternative rap
791,bronx hip hop
792,turntablism
793,phonk
794,hardstyle
795,jumpstyle
796,musica canaria
797,keroncong
798,classical piano
799,turkish classical performance
800,musical advocacy
801,bubble trance
802,sholawat
803,taiwan punk
804,hong kong indie
805,afrofuturism
806,texas country
807,cali rap
808,balearic
809,musica sarda
810,minimal tech house
811,australian indigenous
812,classic indo pop
813,indonesian city pop
814,modern folk rock
815,uk americana
816,polish electronica
817,tennessee hip hop
818,bedroom pop
819,manchester hip hop
820,celtic rock
821,chinese minyao
822,black americana
823,country dawn
824,baroque pop
825,quebec indie
826,dangdut
827,dangdut koplo
