,id,uri,title,name,popularity,genres
7360,6VNENoZhUeW7QMgHekaktJ,https://open.spotify.com/artist/6VNENoZhUeW7QMgHekaktJ,Mauton,Mauton,29,finnish trap
7361,1I1JDJU4DGxdEkXJdV84dO,https://open.spotify.com/artist/1I1JDJU4DGxdEkXJdV84dO,Nova,Nova,29,
7362,2x75QYHxdSfn3aPchQkJGc,https://open.spotify.com/artist/2x75QYHxdSfn3aPchQkJGc,Lola Dubini,Lola Dubini,38,nouvelle chanson francaise
7363,0obaLCCWO42LOegAmHhEC4,https://open.spotify.com/artist/0obaLCCWO42LOegAmHhEC4,Didi Kempot,Didi Kempot,58,"campursari,classic indo pop,dangdut,dangdut koplo,javanese dangdut,lagu jawa"
7364,5CROBjCskHMjRlerJor7Gx,https://open.spotify.com/artist/5CROBjCskHMjRlerJor7Gx,Guyon Waton,Guyon Waton,60,"dangdut,indonesian pop,javanese dangdut,lagu jawa"
7365,5JVKdHw7BhuMqSSBVx2D7G,https://open.spotify.com/artist/5JVKdHw7BhuMqSSBVx2D7G,Traffik,Traffik,36,
7366,2fwe5Hfv8bvpVDXB64hndj,https://open.spotify.com/artist/2fwe5Hfv8bvpVDXB64hndj,Oni One,Oni One,40,
7367,6PLV2hMvX4dZpMMfZgQ1xe,https://open.spotify.com/artist/6PLV2hMvX4dZpMMfZgQ1xe,ITALIAN ALLSTARS 4 LIFE,ITALIAN ALLSTARS 4 LIFE,30,
7368,5mjasIBQQPIqA9GV2Ys61h,https://open.spotify.com/artist/5mjasIBQQPIqA9GV2Ys61h,chiello,chiello,68,"italian hip hop,italian indie pop"
7369,6Uzmax0z90qEQiH8ryLDjr,https://open.spotify.com/artist/6Uzmax0z90qEQiH8ryLDjr,Denise De Kalafe,Denise De Kalafe,41,
7370,3FTKP1k9VbOng3m1rgnsqx,https://open.spotify.com/artist/3FTKP1k9VbOng3m1rgnsqx,Ilse DeLange,Ilse DeLange,57,"dutch americana,dutch pop,dutch rock,nederpop"
7371,6l9nyiFQEfr0V9NevD7Kru,https://open.spotify.com/artist/6l9nyiFQEfr0V9NevD7Kru,Psycho,Psycho,23,surinamese pop
7372,2A6yonaTDHib4Ny8dZtFSk,https://open.spotify.com/artist/2A6yonaTDHib4Ny8dZtFSk,Jairzinho Rozenstruik,Jairzinho Rozenstruik,22,
7373,4tIKaxUmpXzshok2yCnwdf,https://open.spotify.com/artist/4tIKaxUmpXzshok2yCnwdf,King Promise,King Promise,58,"afro dancehall,afropop,azontobeats,ghanaian alternative,ghanaian pop"
7374,6OSc2FcjsXys8xGXBOP50p,https://open.spotify.com/artist/6OSc2FcjsXys8xGXBOP50p,Yasmine San Miguel,Yasmine San Miguel,5,
7375,67kneXyC1PlsA2W3CMuRvH,https://open.spotify.com/artist/67kneXyC1PlsA2W3CMuRvH,Karl Fredrik Førli,Karl Fredrik Førli,5,
7376,2y9j8qUwBMGPYPQJJxmYzD,https://open.spotify.com/artist/2y9j8qUwBMGPYPQJJxmYzD,Anna Clendening,Anna Clendening,63,"alt z,pop,post-teen pop,social media pop,viral pop"
7377,5Bpqr2QjydapaVqNi20lot,https://open.spotify.com/artist/5Bpqr2QjydapaVqNi20lot,Raff J.R.,Raff J.R.,41,
7378,3loTvAld5Tpk5aSNbboGpj,https://open.spotify.com/artist/3loTvAld5Tpk5aSNbboGpj,Rasmus Gozzi,Rasmus Gozzi,63,"danspunk,russelater"
7379,4HSiNCPhdU2snKaVJytlUM,https://open.spotify.com/artist/4HSiNCPhdU2snKaVJytlUM,Zen-G,Zen-G,58,"turkish hip hop,turkish trap,turkish trap pop"
7380,6ybd4tPF7McLj3BNhZavQi,https://open.spotify.com/artist/6ybd4tPF7McLj3BNhZavQi,Saian,Saian,52,"turkish hip hop,turkish trap,turkish trap pop"
7381,6v6qfXRvTRGGsmGfDvtMIK,https://open.spotify.com/artist/6v6qfXRvTRGGsmGfDvtMIK,Karencici,Karencici,47,"chinese electropop,chinese r&b,mandopop,taiwan pop"
7382,6J19N5JZkGRjuONpiizCIe,https://open.spotify.com/artist/6J19N5JZkGRjuONpiizCIe,Sergio Denis,Sergio Denis,51,"argentine rock,pop romantico,rock nacional"
7383,46LYOG1uT13ErylBBXUYkh,https://open.spotify.com/artist/46LYOG1uT13ErylBBXUYkh,Young Latino,Young Latino,27,
7384,6pBDI6JuD02u2ZpynOYhRg,https://open.spotify.com/artist/6pBDI6JuD02u2ZpynOYhRg,Jalil,Jalil,48,"deep german hip hop,german hip hop,german trap,german underground rap"
7385,30vzHJVtI7JWEKqk40eOdz,https://open.spotify.com/artist/30vzHJVtI7JWEKqk40eOdz,Niack,Niack,0,
7386,4wwEIIZHZG4WFy0PfZnKTn,https://open.spotify.com/artist/4wwEIIZHZG4WFy0PfZnKTn,Mc Brunyn,Mc Brunyn,51,rave funk
7387,6mvvdYsewi0vnz6JYfE9D9,https://open.spotify.com/artist/6mvvdYsewi0vnz6JYfE9D9,Mc Moana,Mc Moana,39,funk 150 bpm
7388,2IvkS5MXK0vPGnwyJsrEyV,https://open.spotify.com/artist/2IvkS5MXK0vPGnwyJsrEyV,Eric Church,Eric Church,76,"contemporary country,country,country road"
7389,7iK3kLye8FTBgYuqhg7v5P,https://open.spotify.com/artist/7iK3kLye8FTBgYuqhg7v5P,Sarah Lombardi,Sarah Lombardi,52,german pop
7390,4sAEJKUNxPTcVGKuOXWvV6,https://open.spotify.com/artist/4sAEJKUNxPTcVGKuOXWvV6,Litening,Litening,40,
7391,1XEVu7gdRFfzEFqsPrancH,https://open.spotify.com/artist/1XEVu7gdRFfzEFqsPrancH,rusowsky,rusowsky,53,urbano espanol
7392,5ImkeVBlU11axX5QwOWg12,https://open.spotify.com/artist/5ImkeVBlU11axX5QwOWg12,Black Jonas Point,Black Jonas Point,50,"dembow,dominican pop,rap dominicano,trap dominicano"
7393,37UACiDcdzEYii0iU0QpAf,https://open.spotify.com/artist/37UACiDcdzEYii0iU0QpAf,"Secreto ""El Famoso Biberon""","Secreto ""El Famoso Biberon""",59,"dembow,dominican pop,latin,rap dominicano,trap latino"
7394,3oOJYwLB8FGSKYOQ5zx7Kk,https://open.spotify.com/artist/3oOJYwLB8FGSKYOQ5zx7Kk,Liro Shaq,Liro Shaq,52,"dembow,dominican pop,rap dominicano"
7395,4ZP3CHz28XWVLGiaVVWuLj,https://open.spotify.com/artist/4ZP3CHz28XWVLGiaVVWuLj,Tryo,Tryo,58,"chanson,chanson virale,francoton,french pop,french reggae,french rock"
7396,3ZPf9DXqQj6oGWH4YzGQJs,https://open.spotify.com/artist/3ZPf9DXqQj6oGWH4YzGQJs,McFly et Carlito,McFly et Carlito,39,
7397,1SxuyHZnLUFyFHGzdGaxZk,https://open.spotify.com/artist/1SxuyHZnLUFyFHGzdGaxZk,Wejdene,Wejdene,61,francoton
7398,5l1vac3RyLQMAPxjhd7t3Z,https://open.spotify.com/artist/5l1vac3RyLQMAPxjhd7t3Z,Honey Jemlan,Honey Jemlan,36,
7399,5TnQc2N1iKlFjYD7CPGvFc,https://open.spotify.com/artist/5TnQc2N1iKlFjYD7CPGvFc,DAY6,DAY6,71,"k-pop,k-pop boy group"
7400,6eFyS3cm4ANCbAuxQNl7ap,https://open.spotify.com/artist/6eFyS3cm4ANCbAuxQNl7ap,Ocs,Ocs,55,"dutch hip hop,dutch rap pop"
7401,1NmbrZqVbinlAMscrnV3Jt,https://open.spotify.com/artist/1NmbrZqVbinlAMscrnV3Jt,Ola Nordmann,Ola Nordmann,34,
7402,6KSaWsYvSy4JV7pM6MWQEK,https://open.spotify.com/artist/6KSaWsYvSy4JV7pM6MWQEK,RykkinnFella,RykkinnFella,44,russelater
7403,1O4AnKY2Rp3ZNM5EmUqJrd,https://open.spotify.com/artist/1O4AnKY2Rp3ZNM5EmUqJrd,Jack Dee,Jack Dee,44,russelater
7404,3GmeMFpBRcVlf9OUwlsuo0,https://open.spotify.com/artist/3GmeMFpBRcVlf9OUwlsuo0,Jens Book-Jenssen,Jens Book-Jenssen,23,"classic norwegian pop,vintage norwegian pop"
7405,1HIBjVzHAL7l9dOnKllH5J,https://open.spotify.com/artist/1HIBjVzHAL7l9dOnKllH5J,Rikard Nordraak,Rikard Nordraak,12,norwegian classical
7406,11LPmaVCc0NqqKm7x4mDeb,https://open.spotify.com/artist/11LPmaVCc0NqqKm7x4mDeb,Bjørnstjerne Bjørnson,Bjørnstjerne Bjørnson,15,eventyr
7407,4DSDUs4nuqsHmS4LisPi9U,https://open.spotify.com/artist/4DSDUs4nuqsHmS4LisPi9U,Forsvarets Stabsmusikkorps,Forsvarets Stabsmusikkorps,40,
7408,3xYnbdPOwx0r5ett9Hhoq9,https://open.spotify.com/artist/3xYnbdPOwx0r5ett9Hhoq9,THE STAFF BAND OF THE NORWEGIAN ARMED FORCES,THE STAFF BAND OF THE NORWEGIAN ARMED FORCES,41,
7409,7kHhGP2Cm5z0YZsxuuoPo1,https://open.spotify.com/artist/7kHhGP2Cm5z0YZsxuuoPo1,Schola Cantorum,Schola Cantorum,28,"choral,icelandic choir,norwegian choir"
7410,5wgwZ42k45KFtRKHUgQhmI,https://open.spotify.com/artist/5wgwZ42k45KFtRKHUgQhmI,Ingar Bergby,Ingar Bergby,25,
7411,059bRJ2h0NY1NDMaT21fSU,https://open.spotify.com/artist/059bRJ2h0NY1NDMaT21fSU,Tone Bianca Sparre Dahl,Tone Bianca Sparre Dahl,29,
7412,2TubhB02PsCWrwzQQJLIbG,https://open.spotify.com/artist/2TubhB02PsCWrwzQQJLIbG,Johanne Holmedahl,Johanne Holmedahl,24,
7413,7fFoO8E3rLkTJBItdhAwCy,https://open.spotify.com/artist/7fFoO8E3rLkTJBItdhAwCy,Lars-Erik Larsson,Lars-Erik Larsson,21,"early modern classical,swedish classical"
7414,751C9BQ0VdWdtVeC0bADSf,https://open.spotify.com/artist/751C9BQ0VdWdtVeC0bADSf,Arild Feldborg,Arild Feldborg,10,
7415,4lkMhKErNMyZ9Sarx6n6O5,https://open.spotify.com/artist/4lkMhKErNMyZ9Sarx6n6O5,Finn Bø,Finn Bø,9,
7416,7gyEHWG7bLlW2ZCPeIr1fE,https://open.spotify.com/artist/7gyEHWG7bLlW2ZCPeIr1fE,Gardemusikken,Gardemusikken,25,classic norwegian pop
7417,1mJCP4lGqdhBUuiHQIlbtr,https://open.spotify.com/artist/1mJCP4lGqdhBUuiHQIlbtr,HM Kongens Gardes Musikkorps,HM Kongens Gardes Musikkorps,17,
7418,4yhRrKbyZyoKNHY3jR7T7K,https://open.spotify.com/artist/4yhRrKbyZyoKNHY3jR7T7K,Sarpsborg Kammerkor,Sarpsborg Kammerkor,5,
7419,0TssKMrMlrXSxIwNrghB1V,https://open.spotify.com/artist/0TssKMrMlrXSxIwNrghB1V,N/A,N/A,27,
7420,6QQCeD7ZErV1xQnlyjaFHF,https://open.spotify.com/artist/6QQCeD7ZErV1xQnlyjaFHF,Bodø Domkor,Bodø Domkor,15,norwegian choir
7421,6WSfT3T82GHspYEzx64N9k,https://open.spotify.com/artist/6WSfT3T82GHspYEzx64N9k,Allan Johanson,Allan Johanson,8,
7422,3X8viboyMAibq7WDRxqY4J,https://open.spotify.com/artist/3X8viboyMAibq7WDRxqY4J,Anne Brændeland,Anne Brændeland,44,"barnemusikk,classic norwegian pop"
7423,0bhbJosHyBjBOw4o5QUb0V,https://open.spotify.com/artist/0bhbJosHyBjBOw4o5QUb0V,Marianne Borhaug,Marianne Borhaug,15,barnemusikk
